feature_1,feature_2,abs_spearman_corr
previous_tpv,previous_n_tx,0.833249326687554
recent_tpv,recent_n_tx,0.8323419225669203
recent_n_tx,days_since_last_tx,0.8128387030131786
tpv_drop_ratio,tx_drop_ratio,0.7310121229636728
previous_tpv,previous_approval_rate,0.728837815289066
recent_tpv,recent_approval_rate,0.7172732244905398
recent_tpv,days_since_last_tx,0.7163782084304936
tpv_drop_ratio,approval_rate_drop,0.7069402970357044
recent_approval_rate,approval_rate_drop,0.646415350636851
previous_n_tx,previous_approval_rate,0.6293389038578594
tx_drop_ratio,approval_rate_drop,0.6236998976408423
recent_approval_rate,days_since_last_tx,0.6187492123746302
recent_n_tx,recent_approval_rate,0.615142158843511
tpv_drop_ratio,previous_approval_rate,0.5690157427455153
previous_tpv,tpv_drop_ratio,0.5667156420856766
previous_n_tx,median_days_between_tx,0.5250950628567417
previous_n_tx,tx_drop_ratio,0.4802036705647992
previous_approval_rate,approval_rate_drop,0.4662489749158448
recent_n_tx,median_days_between_tx,0.4595403091997683
tpv_drop_ratio,previous_n_tx,0.4586860911046734
recent_n_tx,recent_pct_ecom_tpv,0.4564073433065859
previous_n_tx,previous_pct_ecom_tpv,0.4530690102543846
recent_n_tx,tx_drop_ratio,0.449356086101218
previous_n_tx,previous_pct_pix_tpv,0.43242483376284535
recent_tpv,recent_pct_ecom_tpv,0.4289342672943123
previous_tpv,previous_pct_ecom_tpv,0.4186259556687396
recent_n_tx,recent_pct_pix_tpv,0.41734597611245833
recent_tpv,approval_rate_drop,0.41716212404692155
previous_tpv,tx_drop_ratio,0.4140485317494058
recent_tpv,tpv_drop_ratio,0.4111389907249037
recent_n_tx,recent_bad_status_rate,0.41050347402122955
previous_tpv,median_days_between_tx,0.41010742657923777
previous_n_tx,previous_bad_status_rate,0.4011232068879242
tx_drop_ratio,recent_approval_rate,0.3946307334404352
previous_tpv,previous_pct_pix_tpv,0.39313466083538157
tx_drop_ratio,previous_approval_rate,0.39307509218452674
