feature,mean_abs_shap
cat__has_safe_complaint_False,0.3515186
num__previous_tpv,0.15656464
num__days_since_last_complaint_safe,0.14717737
num__days_since_last_tx,0.14339092
num__median_days_between_tx,0.100960664
num__recent_tpv,0.09711857
num__recent_n_tx,0.086262666
cat__segment_SMB,0.084979765
num__recent_pct_pix_tpv,0.05529253
cat__mcc_7011,0.050838098
cat__mcc_5499,0.049771372
num__tpv_drop_ratio,0.047071125
num__recent_pct_ecom_tpv,0.038509805
num__previous_pct_ecom_tpv,0.038129386
num__previous_pct_pix_tpv,0.037864294
cat__has_safe_complaint_True,0.035051882
num__tx_drop_ratio,0.033225678
num__approval_rate_drop,0.029737331
num__previous_approval_rate,0.027466483
num__previous_n_tx,0.023903722
cat__mcc_5651,0.022205034
num__recent_approval_rate,0.020425234
cat__mcc_4789,0.018789113
cat__mcc_5411,0.013618972
num__previous_bad_status_rate,0.013155147
num__recent_bad_status_rate,0.010209825
cat__segment_Enterprise,0.009630353
cat__segment_MidMarket,0.008725105
cat__mcc_7995,0.006794
cat__mcc_5812,0.005742897
cat__mcc_5732,0.004900294
cat__mcc_5912,0.0047782445
cat__mcc_5311,0.0033060855
cat__has_safe_tx_history_False,0.0
cat__has_safe_tx_history_True,0.0
