merchant_id,risk_score,top_signal,recent_tpv,previous_tpv,recent_n_tx,previous_n_tx,recent_approval_rate,previous_approval_rate,bad_status_rate_recent,days_since_last_tx,median_days_between_tx,days_since_last_complaint_safe,has_safe_tx_history
10002426,87.6667,tpv_drop,0.0,1013.7800000000001,0.0,5.0,0.0,1.0,0.0,114.0,25.0,7.0,True
10007389,85.0,tpv_drop,0.0,1203.7,2.0,8.0,0.0,1.0,1.0,60.0,16.0,,True
10007605,83.7391,tpv_drop,0.0,3754.29,1.0,5.0,0.0,1.0,1.0,34.0,9.0,,True
10000655,83.7319,tpv_drop,0.0,542.37,1.0,6.0,0.0,0.8333333333333334,1.0,55.0,17.0,,True
10000059,80.9331,tpv_drop,0.0,299.0,1.0,5.0,0.0,1.0,1.0,38.0,19.5,,True
10000173,80.0,tpv_drop,0.0,758.9000000000001,0.0,5.0,0.0,1.0,0.0,101.0,26.5,,True
10001504,80.0,tpv_drop,0.0,1898.25,0.0,6.0,0.0,1.0,0.0,103.0,15.0,,True
10003637,80.0,tpv_drop,0.0,4777.37,0.0,6.0,0.0,1.0,0.0,110.0,9.0,210.0,True
10004545,80.0,tpv_drop,0.0,237.01000000000002,0.0,5.0,0.0,1.0,0.0,111.0,10.0,,True
10004690,80.0,tpv_drop,0.0,427.72999999999996,0.0,6.0,0.0,1.0,0.0,99.0,16.0,,True
10005312,80.0,tpv_drop,0.0,354.40999999999997,0.0,6.0,0.0,1.0,0.0,100.0,24.0,359.0,True
10005598,80.0,tpv_drop,0.0,578.14,0.0,5.0,0.0,1.0,0.0,120.0,17.0,83.0,True
10006254,80.0,tpv_drop,0.0,2932.05,1.0,5.0,0.0,0.6,1.0,87.0,22.5,,True
10006693,80.0,tpv_drop,0.0,360.06,0.0,6.0,0.0,1.0,0.0,99.0,22.0,,True
10007028,80.0,tpv_drop,0.0,796.8,0.0,5.0,0.0,1.0,0.0,101.0,13.5,,True
10008731,80.0,tpv_drop,0.0,580.57,0.0,5.0,0.0,1.0,0.0,123.0,16.0,,True
10009439,80.0,tpv_drop,0.0,579.74,0.0,6.0,0.0,1.0,0.0,104.0,24.5,,True
10009495,80.0,tpv_drop,0.0,787.48,0.0,6.0,0.0,1.0,0.0,97.0,22.0,42.0,True
10005027,78.3936,tpv_drop,0.0,271.5,1.0,5.0,0.0,1.0,1.0,27.0,19.0,115.0,True
10006468,77.8571,tpv_drop,0.0,4467.91,0.0,7.0,0.0,0.8571428571428571,0.0,99.0,14.0,,True
10002242,77.5,tpv_drop,0.0,391.11,0.0,6.0,0.0,0.8333333333333334,0.0,113.0,21.0,230.0,True
10002237,77.0,tpv_drop,0.0,209.42000000000002,0.0,5.0,0.0,0.8,0.0,93.0,28.0,,True
10003363,77.0,tpv_drop,0.0,6072.71,0.0,5.0,0.0,0.8,0.0,98.0,10.0,,True
10004066,77.0,tpv_drop,0.0,779.94,0.0,5.0,0.0,0.8,0.0,105.0,14.0,,True
10005726,77.0,tpv_drop,0.0,256.13,0.0,5.0,0.0,0.8,0.0,142.0,21.0,,True
10008664,77.0,tpv_drop,0.0,143.78,0.0,5.0,0.0,0.8,0.0,116.0,12.0,,True
10009294,77.0,tpv_drop,0.0,265.95,0.0,5.0,0.0,0.8,0.0,129.0,32.0,,True
10005467,76.6667,tpv_drop,0.0,15161.88,1.0,6.0,0.0,1.0,1.0,4.0,39.0,,True
10004582,76.5263,tpv_drop,0.0,377.39,0.0,5.0,0.0,0.8,0.0,108.0,38.0,,True
10009776,76.0,tpv_drop,0.0,847.0,1.0,5.0,0.0,1.0,1.0,10.0,10.0,,True
10003208,75.7143,tpv_drop,0.0,333.06,0.0,7.0,0.0,0.7142857142857143,0.0,99.0,22.0,,True
10002297,75.0,tpv_drop,0.0,285.05,0.0,6.0,0.0,0.6666666666666666,0.0,101.0,16.5,121.0,True
10004543,75.0,tpv_drop,0.0,3064.4300000000003,0.0,6.0,0.0,0.6666666666666666,0.0,118.0,17.0,,True
10002636,74.0,tpv_drop,0.0,318.56,0.0,5.0,0.0,0.6,0.0,123.0,13.0,68.0,True
10003549,74.0,tpv_drop,0.0,76.14,0.0,2.0,0.0,1.0,0.0,125.0,31.5,3.0,True
10006496,74.0,tpv_drop,0.0,143.14999999999998,0.0,5.0,0.0,0.6,0.0,101.0,25.5,167.0,True
10002153,73.0,tpv_drop,0.0,199.03,0.0,1.0,0.0,1.0,0.0,162.0,50.0,6.0,True
10005725,73.0,tpv_drop,0.0,10.61,0.0,1.0,0.0,1.0,0.0,169.0,32.0,6.0,True
10008159,73.0,tpv_drop,0.0,316.71,0.0,4.0,0.0,0.75,0.0,96.0,28.5,6.0,True
